time_ms,cwnd,ssthresh
4.51,32.66,16.00
4.52,32.69,16.00
4.53,32.72,16.00
4.54,32.75,16.00
4.55,32.78,16.00
4.60,32.81,16.00
4.63,32.84,16.00
4.65,32.87,16.00
4.67,32.90,16.00
4.68,32.94,16.00
4.70,32.97,16.00
4.72,33.00,16.00
4.74,33.03,16.00
4.76,33.06,16.00
4.77,33.09,16.00
4.78,33.12,16.00
4.80,33.15,16.00
4.82,33.18,16.00
4.84,33.21,16.00
4.87,33.24,16.00
4.89,33.27,16.00
4.91,33.30,16.00
4.93,33.33,16.00
4.95,33.36,16.00
4.97,33.39,16.00
4.99,33.42,16.00
5.01,33.45,16.00
5.04,33.48,16.00
5.06,33.51,16.00
5.07,33.54,16.00
5.08,33.57,16.00
5.09,33.60,16.00
5.11,33.63,16.00
5.14,33.66,16.00
5.15,33.69,16.00
5.17,33.72,16.00
5.19,33.75,16.00
5.21,33.77,16.00
5.23,33.80,16.00
5.26,33.83,16.00
5.28,33.86,16.00
5.29,33.89,16.00
5.31,33.92,16.00
5.33,33.95,16.00
5.35,33.98,16.00
5.36,34.01,16.00
5.37,34.04,16.00
5.39,34.07,16.00
5.41,34.10,16.00
5.43,34.13,16.00
5.46,34.16,16.00
5.48,34.19,16.00
5.50,34.22,16.00
5.51,34.25,16.00
5.53,34.27,16.00
5.54,34.30,16.00
5.56,34.33,16.00
5.59,34.36,16.00
5.61,34.39,16.00
5.63,34.42,16.00
5.64,34.45,16.00
5.66,34.48,16.00
5.70,34.51,16.00
5.72,34.54,16.00
5.75,34.57,16.00
5.77,34.59,16.00
5.79,34.62,16.00
5.81,34.65,16.00
5.84,34.68,16.00
5.85,34.71,16.00
5.85,34.74,16.00
5.87,34.77,16.00
5.89,34.80,16.00
5.90,34.82,16.00
5.92,34.85,16.00
5.95,34.88,16.00
5.96,34.91,16.00
5.97,34.94,16.00
5.99,34.97,16.00
6.01,35.00,16.00
6.04,35.03,16.00
6.07,35.05,16.00
6.09,35.08,16.00
6.11,35.11,16.00
6.13,35.14,16.00
6.14,35.17,16.00
6.16,35.20,16.00
6.17,35.22,16.00
6.18,35.25,16.00
6.18,35.28,16.00
6.19,35.31,16.00
6.20,35.34,16.00
6.21,35.37,16.00
6.21,35.39,16.00
6.22,35.42,16.00
6.24,35.45,16.00
6.25,35.48,16.00
6.26,35.51,16.00
6.26,35.54,16.00
6.27,35.56,16.00
6.28,35.59,16.00
