time_ms,cwnd,ssthresh
47388.55,2.90,1.00
47488.62,3.24,1.00
47588.87,3.55,1.00
47689.11,3.83,1.00
47789.32,4.10,1.00
47889.51,4.34,1.00
47989.80,4.57,1.00
48090.07,4.79,1.00
48190.39,5.00,1.00
48290.68,5.20,1.00
48391.06,5.39,1.00
48691.32,1.00,2.70
48791.93,2.00,2.70
48892.32,3.00,2.70
49192.70,1.00,1.50
49293.24,2.00,1.50
49593.78,1.00,1.00
49694.30,2.00,1.00
49794.61,2.50,1.00
49894.95,2.90,1.00
49995.35,3.24,1.00
50095.73,3.55,1.00
50196.09,3.83,1.00
50296.51,4.10,1.00
50396.87,4.34,1.00
50497.27,4.57,1.00
50797.57,1.00,2.28
50898.02,2.00,2.28
50998.21,3.00,2.28
51098.42,3.33,2.28
51398.80,1.00,1.67
51499.30,2.00,1.67
51599.46,2.50,1.67
51699.78,2.90,1.67
51800.01,3.24,1.67
51900.28,3.55,1.67
52000.50,3.83,1.67
52100.73,4.10,1.67
52200.93,4.34,1.67
52301.19,4.57,1.67
52401.41,4.79,1.67
52501.69,5.00,1.67
52601.94,5.20,1.67
52902.27,1.00,2.60
53103.05,2.00,2.60
53203.31,3.00,2.60
53303.59,3.33,2.60
53603.97,1.00,1.67
53704.50,2.00,1.67
53804.67,2.50,1.67
54105.01,1.00,1.25
54205.41,2.00,1.25
54305.78,2.50,1.25
54606.18,1.00,1.25
54706.65,2.00,1.25
54806.98,2.50,1.25
55107.39,1.00,1.25
55207.92,2.00,1.25
55308.22,2.50,1.25
55608.74,1.00,1.25
55709.22,2.00,1.25
56009.61,1.00,1.00
56310.15,1.00,1.00
56610.58,1.00,1.00
56711.08,2.00,1.00
57011.49,1.00,1.00
57112.07,2.00,1.00
57212.31,2.50,1.00
57312.60,2.90,1.00
57613.10,1.00,1.45
57713.71,2.00,1.45
58014.08,1.00,1.00
58314.58,1.00,1.00
58415.06,2.00,1.00
58515.39,2.50,1.00
58615.58,2.90,1.00
58715.78,3.24,1.00
58816.03,3.55,1.00
58916.36,3.83,1.00
59016.60,4.10,1.00
59316.88,1.00,2.05
59417.75,2.00,2.05
59518.02,3.00,2.05
59618.28,3.33,2.05
59718.49,3.63,2.05
59818.74,3.91,2.05
59919.01,4.16,2.05
60019.26,4.40,2.05
60119.51,4.63,2.05
60304.81,4.85,2.05
60404.87,5.05,2.05
60505.17,5.25,2.05
60605.40,5.44,2.05
60705.65,5.63,2.05
60805.90,5.80,2.05
61106.18,1.00,2.90
61307.38,1.00,1.00
61406.52,1.00,1.00
61608.09,2.00,1.00
61808.56,2.50,1.00
61908.84,2.90,1.00
62009.06,3.24,1.00
62109.33,3.55,1.00
62409.60,1.00,1.78
62510.13,2.00,1.78
62810.55,1.00,1.00
62911.06,2.00,1.00
63011.32,2.50,1.00
63311.77,1.00,1.25
63612.17,1.00,1.00
63912.84,1.00,1.00
64213.26,1.00,1.00
64313.88,2.00,1.00
64414.04,2.50,1.00
64514.28,2.90,1.00
64614.58,3.24,1.00
64714.76,3.55,1.00
64815.06,3.83,1.00
64915.28,4.10,1.00
65015.53,4.34,1.00
65124.07,4.57,1.00
65224.36,4.79,1.00
65524.71,1.00,2.39
65725.72,1.00,1.00
65825.04,1.00,1.00
65926.16,2.00,1.00
